Date,Open,High,Low,Close,Adj Close,Volume
3/28/2022,1907.699951,1958.550049,1885,1922.699951,1806.855713,33944
4/4/2022,1922.699951,1933.75,1887,1914.800049,1799.431763,35576
4/11/2022,1915,1925.400024,1892,1895.300049,1781.106567,12786
4/18/2022,1895.300049,1910.199951,1865.050049,1888.5,1774.716309,22194
4/25/2022,1881.099976,1919.349976,1862.75,1878.449951,1765.271729,17050
5/2/2022,1878.449951,1884.699951,1815.150024,1830.699951,1720.398682,12778
5/9/2022,1831,1837,1725,1764.5,1658.187256,21237
5/16/2022,1773.349976,1798.300049,1737,1784.849976,1677.311279,45513
5/23/2022,1784.849976,1786,1700,1738.199951,1633.471924,40858
5/30/2022,1755.550049,1851,1741.349976,1795.699951,1687.507568,29901
6/6/2022,1800,1804.449951,1765,1785.800049,1678.203979,199904
6/13/2022,1785,1797.550049,1687.599976,1701.599976,1599.077148,21321
6/20/2022,1701.599976,1800,1700,1780.900024,1673.599243,69388
6/27/2022,1800,1919,1767.199951,1877.300049,1764.191162,158785
7/4/2022,1885,1920.800049,1821.099976,1896.300049,1782.046387,43655
7/11/2022,1899,1939.949951,1875,1920.150024,1804.459351,13758
7/18/2022,1929.800049,1949.75,1905.099976,1924.75,1808.782227,25694
7/25/2022,1934.400024,2000,1916.650024,1945,1827.812134,56615
8/1/2022,1950.25,1985,1885.050049,1906.800049,1824.216309,117442
8/8/2022,1925,1980.050049,1906.050049,1917.550049,1834.50061,29083
8/15/2022,1917.550049,1979,1885,1898.099976,1815.893066,42302
8/22/2022,1900.050049,1950,1891,1939,1855.021606,34613
8/29/2022,1903.699951,1963.050049,1903.699951,1940.349976,1856.31311,35257
9/5/2022,1950,2066.5,1923.550049,2019.349976,1931.891724,92433
9/12/2022,2019.349976,2179.949951,1990,2132.5,2040.140991,305443
9/19/2022,2140,2236.199951,2106.649902,2156.649902,2063.245117,87947
9/26/2022,2125.050049,2230.25,2100.100098,2205.649902,2110.122803,141845
10/3/2022,2235,2260,2177,2224.350098,2128.013184,62879
10/10/2022,2187,2241.949951,2029.400024,2046.099976,1957.483154,59669
10/17/2022,2047,2243,2040,2138.449951,2045.833374,74435
10/24/2022,2140,2170,2101.600098,2130.800049,2038.514893,11632
10/31/2022,2141.5,2177,2060.949951,2105.199951,2014.023438,27339
11/7/2022,2140,2275,2094.050049,2271.25,2172.881836,119685
11/14/2022,2277.5,2400,2266.550049,2339.949951,2238.606445,163926
11/21/2022,2386,2399.899902,2290.5,2310,2209.953613,81279
11/28/2022,2278,2370,2270.100098,2296.600098,2197.133789,108625
12/5/2022,2331.050049,2378,2230,2251.149902,2153.652344,74753
12/12/2022,2251.949951,2323.649902,2240.149902,2276.649902,2178.047852,54991
12/19/2022,2276.649902,2310,2158.550049,2190.550049,2095.677002,138381
12/26/2022,2165,2243.600098,2160.050049,2219.550049,2123.421143,37863
1/2/2023,2248,2250,2180.5,2211.050049,2115.289307,24015
1/9/2023,2215.050049,2233,2116,2225.199951,2128.826172,72694
1/16/2023,2239.399902,2336.550049,2190.100098,2259.100098,2161.258057,91627
1/23/2023,2259.100098,2269.5,2206.449951,2241.550049,2144.468262,25970
1/30/2023,2259.300049,2269.949951,2192.75,2210.300049,2114.571777,21862
2/6/2023,2210.300049,2365,2153.199951,2315.300049,2215.02417,138956
2/13/2023,2334.300049,2348,2140,2177.800049,2083.479492,78621
2/20/2023,2188,2229.850098,2160,2194.399902,2099.360107,34856
2/27/2023,2204,2204,2123.199951,2184.850098,2114.188965,39366
3/6/2023,2190,2290.149902,2150,2280.850098,2207.083984,50398
3/13/2023,2285,2379.25,2235.199951,2304.300049,2229.775635,60291
3/20/2023,2317.899902,2383.149902,2240,2352.399902,2276.319824,46624
3/27/2023,2225,2360,2225,2300.550049,2226.146973,76804
4/3/2023,2291,2309,2215.600098,2231.449951,2159.281738,19156
4/10/2023,2230,2320,2200,2303.850098,2229.340332,37692
4/17/2023,2315,2349.5,2289,2303.5,2229.001709,86245
4/24/2023,2324.899902,2329.899902,2268.75,2324.699951,2249.515869,74204
5/1/2023,2324.699951,2478.850098,2324.699951,2408.550049,2330.654053,112746
5/8/2023,2421,2490,2375.100098,2470.449951,2390.552002,70187
5/15/2023,2468,2500,2390,2434,2355.281006,47376
5/22/2023,2434,2548.75,2383.300049,2499.100098,2418.275635,131371
5/29/2023,2500,2520,2400,2453.100098,2373.763428,78379
6/5/2023,2453.199951,2473.050049,2351,2356.600098,2280.384277,49879
6/12/2023,2368.399902,2476.699951,2350.199951,2452.449951,2373.134277,60013
6/19/2023,2473.949951,2495.899902,2438.600098,2452.300049,2372.989258,42956
6/26/2023,2465,2485,2423.100098,2432.850098,2354.168213,26049
7/3/2023,2439,2528.649902,2423.050049,2516.25,2434.871094,56632
7/10/2023,2530,2800,2526.300049,2741.850098,2653.174805,193862
7/17/2023,2745,2777.550049,2646.149902,2682.25,2595.502441,83150
7/24/2023,2655.449951,2792.25,2620,2719.350098,2631.402588,94659
7/31/2023,2719.399902,2940,2719.399902,2822.800049,2772.387451,273713
8/7/2023,2848,2857.149902,2760.050049,2819.050049,2768.70459,64230
8/14/2023,2820.25,2965.199951,2750.449951,2826.649902,2776.168701,56167
8/21/2023,2815,2873.949951,2752.600098,2764.649902,2715.275879,41127
