Date,Open,High,Low,Close,Adj Close,Volume
3/28/2022,300.133331,321.666656,298.666656,313.200012,310.381439,1517881
4/4/2022,313.200012,319.933319,304.666656,309.466675,306.681702,1766759
4/11/2022,310,319.333344,306.600006,310.033325,307.243286,1435598
4/18/2022,309.333344,320,303.333344,313.200012,310.381439,1098125
4/25/2022,310.333344,319.366669,300.666656,313.033325,310.216278,831021
5/2/2022,313.033325,313.899994,295.399994,300.866669,298.159088,298472
5/9/2022,300.666656,300.666656,263.333344,265.399994,263.011597,1485108
5/16/2022,266.799988,275.200012,260,265.799988,263.40799,895951
5/23/2022,270.600006,279.033325,265.399994,269.899994,267.4711,1855960
5/30/2022,270.366669,278.866669,264.266663,275.233337,272.756439,3286580
6/6/2022,275.200012,278.666656,263.333344,266.066681,263.672272,2048795
6/13/2022,263.966675,268.833344,244.100006,247.233337,245.609955,2868519
6/20/2022,248.333328,259.333344,238.766663,248.800003,247.166336,5054515
6/27/2022,253.766663,254.433334,243.399994,248.300003,246.669617,762807
7/4/2022,248.633331,276.666656,242.100006,260.566681,258.855743,4950786
7/11/2022,260.600006,272.666656,253.566666,261,259.286224,3114860
7/18/2022,262.600006,269.166656,259.166656,268.100006,266.33963,1220545
7/25/2022,268.100006,274.833344,264.066681,266.666656,264.91568,1338491
8/1/2022,268.066681,357.266663,268.066681,334.299988,332.104919,20203665
8/8/2022,334.266663,339.933319,326.666656,329.5,327.336456,688883
8/15/2022,329.5,344,329.5,337.133331,334.919647,2371565
8/22/2022,336.666656,338,321.433319,328.600006,326.442352,776325
8/29/2022,323.133331,342.733337,320.100006,333.133331,330.945923,2245813
9/5/2022,333.333344,348.733337,329.399994,342.266663,340.019287,2419457
9/12/2022,340.233337,344.466675,313.333344,319.933319,317.832581,1101306
9/19/2022,321.333344,330.766663,310.566681,319.399994,317.302765,1217489
9/26/2022,322.666656,333.299988,313.333344,326.433319,324.289917,1693642
10/3/2022,324,334,315.399994,317.066681,314.984772,894198
10/10/2022,316.666656,323.266663,312,320.899994,318.792908,906062
10/17/2022,326.633331,328.266663,315.533325,319.466675,317.369019,637173
10/24/2022,321.133331,322.966675,314.533325,317.466675,315.382141,222304
10/31/2022,319.066681,325.700012,297.333344,298.666656,296.705566,2350877
11/7/2022,300.166656,306.200012,292.133331,298.333344,296.374451,866573
11/14/2022,296.799988,299.933319,284.466675,289.399994,287.499756,827350
11/21/2022,289.633331,295.200012,285.466675,290.200012,288.294525,924435
11/28/2022,290.799988,302.866669,290.666656,293.799988,291.87085,1048325
12/5/2022,296.100006,300.333344,294.866669,297.766663,295.811462,808402
12/12/2022,296.666656,297.299988,284.866669,286.466675,284.585693,622872
12/19/2022,284,293.666656,274.200012,281.966675,280.115234,1171188
12/26/2022,283.333344,294,279.299988,292.833344,290.910553,1438236
1/2/2023,292.666656,298.666656,272.133331,279.600006,277.764099,1460113
1/9/2023,280.966675,286.533325,267.333344,275.600006,273.790375,2783721
1/16/2023,276,280.666656,270.899994,279.033325,277.201141,740606
1/23/2023,279.033325,280,267.733337,273.566681,271.770386,979416
1/30/2023,268.233337,285.233337,268,278.433319,276.605072,1417471
2/6/2023,274.766663,281.633331,272.700012,279.733337,277.896576,2140187
2/13/2023,279.966675,280.466675,274.066681,276.433319,274.618225,394959
2/20/2023,277.433319,279.966675,272.733337,279.466675,277.631653,700209
2/27/2023,279.466675,280.5,267,273.733337,271.935944,553346
3/6/2023,277.833344,281.799988,269.366669,272.166656,270.379578,3087860
3/13/2023,273.533325,273.533325,254.03334,266.133331,264.385864,847509
3/20/2023,267.466675,267.466675,252.100006,256.266663,254.583969,556383
3/27/2023,256.333344,260.533325,251.933334,257.866669,256.173462,575618
4/3/2023,260.066681,263.333344,255.233337,261.266663,259.551147,1036833
4/10/2023,262,263.366669,252.833328,254.133331,252.464645,743743
4/17/2023,254.233337,258.566681,252,254.833328,253.160049,2397165
4/24/2023,256.600006,256.866669,249.100006,253.433334,251.769241,789068
5/1/2023,253.433334,264.866669,253.03334,262.766663,261.04129,1484065
5/8/2023,265.266663,296.133331,261.266663,278.899994,277.068695,10782794
5/15/2023,279.866669,280.666656,271,272.266663,270.478912,2442873
5/22/2023,273.733337,275.466675,270.533325,273.533325,271.737274,1411289
5/29/2023,274.933319,296.133331,274,284.066681,284.066681,4197933
6/5/2023,286.733337,293.133331,283.399994,289.066681,289.066681,1111564
6/12/2023,290.5,310.633331,286.733337,301.833344,301.833344,1999662
6/19/2023,303.366669,313.266663,301.433319,305.600006,305.600006,2322172
6/26/2023,306.933319,309.299988,291.600006,300.299988,300.299988,1457678
7/3/2023,306,334,303.399994,313.799988,313.799988,3783996
7/10/2023,315,315.350006,300.5,307.899994,307.899994,1790546
7/17/2023,309.950012,325.399994,306.649994,322.799988,322.799988,1807963
7/24/2023,326,328.5,319.799988,327.600006,327.600006,1156145
7/31/2023,330.950012,354,317.649994,327.100006,327.100006,4900481
8/7/2023,333,334.549988,326.049988,329,329,1555441
8/14/2023,330.649994,333,318.75,328.100006,328.100006,1198393
8/21/2023,330.950012,330.950012,315,322.200012,322.200012,1044422
8/28/2023,326.950012,341.100006,323.049988,340,340,2805978
9/4/2023,342,344.450012,333,337.25,337.25,1854960
9/11/2023,340,343.549988,325,326.649994,326.649994,2010981
9/18/2023,328.299988,331.700012,320.149994,322.450012,322.450012,2954964
9/25/2023,324.049988,330.549988,316.649994,317.450012,317.450012,1871709
10/2/2023,317.450012,327,317.450012,323.799988,323.799988,1539525
10/9/2023,306.5,323.950012,306.5,322.899994,322.899994,1377455
10/16/2023,322.75,328,318.549988,321.25,321.25,1552984
10/23/2023,322.799988,322.850006,308.950012,313.549988,313.549988,889200
10/30/2023,315,323.950012,304.649994,305,305,1590520
11/6/2023,308.950012,310.649994,301,304.399994,304.399994,1179462
11/13/2023,308.399994,326.299988,306.049988,325.399994,325.399994,1906380
11/20/2023,326.649994,327.5,313.299988,320.350006,320.350006,1006052
11/27/2023,320.350006,326,316.25,320.049988,320.049988,932251
12/4/2023,324.950012,335,317.850006,330.350006,330.350006,2322060
12/11/2023,330,337.299988,325.100006,332.899994,332.899994,1687115
12/18/2023,334.950012,336.450012,316,322.450012,322.450012,995731
12/25/2023,322.450012,357.299988,320.850006,333.25,333.25,5280790
1/1/2024,333.399994,339.600006,330.649994,336.700012,336.700012,1580338
1/8/2024,342,343,336.049988,340.299988,340.299988,1599172
1/15/2024,340.200012,348,332.200012,344.299988,344.299988,1750676
1/22/2024,344.299988,344.299988,330.850006,332.75,332.75,2574097
1/29/2024,334.299988,343.5,332.299988,340.5,340.5,1350165
2/5/2024,342,353,310.899994,316.75,316.75,4667786
2/12/2024,324,324,301.399994,304.399994,304.399994,2301965
2/19/2024,307.049988,313.350006,301.5,301.950012,301.950012,1205433
2/26/2024,304.350006,304.399994,288.600006,290.049988,290.049988,1486814
3/4/2024,293.899994,293.899994,283.200012,284.049988,284.049988,856780
3/11/2024,286.950012,286.950012,257.5,271.350006,271.350006,2750033
3/18/2024,271.350006,277,262.350006,268.649994,268.649994,1990198
3/25/2024,268.649994,272.450012,260.049988,262.25,262.25,1356814
